"from","to","value"
"gene20","gene46","0.0364286603617176"
"gene1","gene35","0.036333469708789"
"gene1","gene31","0.0362664732152392"
"gene11","gene16","0.0358089587174868"
"gene25","gene33","0.0357739674612927"
"gene40","gene41","0.0355345909348837"
"gene22","gene44","0.0354085072503174"
"gene13","gene46","0.0351307994449754"
"gene6","gene35","0.0350375775033768"
"gene2","gene28","0.0350248951031708"
"gene5","gene35","0.0349236719764052"
"gene28","gene33","0.0346964306259128"
"gene37","gene48","0.0344057201310307"
"gene13","gene21","0.0342811508153621"
"gene25","gene46","0.034170741788242"
"gene31","gene48","0.0339127201734055"
"gene2","gene45","0.0338773329717481"
"gene11","gene26","0.033869400002285"
"gene21","gene35","0.0338680087554778"
"gene16","gene33","0.0338045245092448"
"gene4","gene24","0.0337425722214859"
"gene40","gene48","0.0334386259616858"
"gene20","gene41","0.0334201553585398"
"gene21","gene40","0.0334156049353383"
"gene21","gene31","0.0333819563015887"
"gene18","gene44","0.0333725568038057"
"gene29","gene44","0.033072608444634"
"gene20","gene26","0.0330339529744385"
"gene18","gene26","0.0329306123446329"
"gene1","gene32","0.0329061361244433"
"gene18","gene33","0.0328230383664001"
"gene19","gene31","0.0325864009332823"
"gene4","gene34","0.0324998800392928"
"gene17","gene26","0.0324175135939855"
"gene13","gene23","0.0322682745013395"
"gene21","gene32","0.0321840850404091"
"gene37","gene41","0.0321278324692351"
"gene23","gene39","0.0321149562103673"
"gene25","gene49","0.0320808327414828"
"gene6","gene39","0.03203545627041"
"gene45","gene48","0.0318890347333407"
"gene13","gene15","0.0318869779796489"
"gene27","gene33","0.0318369580103664"
"gene13","gene30","0.0317807670247016"
"gene18","gene43","0.0317603503767446"
"gene1","gene24","0.0316757316259926"
"gene4","gene25","0.0315721870184765"
"gene32","gene47","0.0315638684427059"
"gene34","gene40","0.0313006408190214"
"gene6","gene45","0.0311864251203434"
"gene35","gene40","0.0311670804345643"
"gene20","gene29","0.0310336851871227"
"gene19","gene40","0.0310065127493847"
"gene6","gene47","0.0309365250761573"
"gene19","gene24","0.0308144234708353"
"gene4","gene38","0.0307679658028445"
"gene9","gene30","0.0306881373979405"
"gene13","gene29","0.0306705420301436"
"gene5","gene46","0.0306059610932462"
"gene14","gene23","0.0305747567214054"
"gene19","gene20","0.0305230710319022"
"gene10","gene26","0.0304292455396837"
"gene33","gene49","0.0303279561917836"
"gene11","gene27","0.030297297743899"
"gene24","gene26","0.030266257246354"
"gene46","gene47","0.0302563419792171"
"gene31","gene32","0.0301827549938832"
"gene35","gene42","0.0301485296533953"
"gene30","gene35","0.0301138657107054"
"gene5","gene48","0.029941813834543"
"gene16","gene36","0.0298865644021602"
"gene29","gene40","0.0298325000531751"
"gene2","gene22","0.029631644348789"
"gene16","gene19","0.0295902131066785"
"gene1","gene45","0.0295783604973973"
"gene22","gene35","0.0295436147178968"
"gene8","gene26","0.0293261742976524"
"gene18","gene25","0.0293105999484193"
"gene38","gene42","0.0292986554523672"
"gene17","gene27","0.0292596308469993"
"gene44","gene47","0.0291177961905293"
"gene32","gene38","0.0290467326325697"
"gene11","gene18","0.0290155333602357"
"gene25","gene44","0.0289586842493434"
"gene23","gene30","0.028881244047882"
"gene38","gene47","0.0286883020412836"
"gene44","gene46","0.02857654216714"
"gene13","gene49","0.0285744719770463"
"gene26","gene31","0.0284062307940334"
"gene12","gene16","0.0283810437685988"
"gene16","gene28","0.0283494726890179"
"gene26","gene30","0.0283410429277763"
"gene8","gene46","0.0283175474620237"
"gene20","gene33","0.0282747586015346"
"gene20","pheno2","0.0282162010472779"
"gene5","gene18","0.0280031336153084"
"gene2","gene41","0.0279910470432175"
"gene20","gene44","0.027959677295499"
"gene20","gene35","0.0278352564314588"
"gene26","gene34","0.0275386599556806"
"gene21","gene24","0.0274997648176842"
"gene13","gene18","0.0274166936104276"
"gene32","gene33","0.027395571582905"
"gene22","gene43","0.0272653559415955"
"gene10","gene22","0.027210862077336"
"gene2","gene27","0.027151062679472"
"gene5","gene25","0.0269004522922113"
"gene5","gene21","0.0268386072135786"
"gene1","gene26","0.0268359276473393"
"gene37","gene42","0.0268229795714228"
"gene32","gene36","0.0268026086409182"
"gene5","gene47","0.0267478962667561"
"gene31","gene49","0.0267265287202952"
"gene2","gene34","0.0266488052969497"
"gene2","gene46","0.0265630433688344"
"gene32","gene42","0.0264322440284897"
"gene4","gene41","0.0264275021233817"
"gene8","gene29","0.0264182768211982"
"gene10","gene33","0.0264163565374764"
"gene2","gene32","0.026388035327375"
"gene19","gene43","0.0263332080399812"
"gene15","gene26","0.0263156822942046"
"gene3","gene49","0.0262418929053349"
"gene11","gene45","0.0262281372692739"
"gene14","gene49","0.0262103825535341"
"gene27","gene43","0.0261681139213043"
"gene5","gene36","0.0261314551216991"
"gene36","gene46","0.0261049543192677"
"gene3","gene45","0.0260790311832987"
"gene12","gene41","0.0260628989534212"
"gene26","gene41","0.0260622804865388"
"gene26","gene49","0.0259996833888998"
"gene13","gene36","0.0258575326486092"
"gene38","gene44","0.0258212645104469"
"gene36","gene49","0.0257696303522612"
"gene11","gene43","0.0257510618195996"
"gene34","gene36","0.025698667738296"
